,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
1325,&acute;Teliko&acute; Ltd.,Brivibas gatve 224,Riga,1039,+371 26331050,Latvia,info@teliko.com,	Citylight.net is a Latvian company developing and supplying smart street lighting solution for more than 300 cities in 25...,"['citylight.net', 'luminaire controllers', 'smart street lighting solution', 'streetlighting']",,www.citylight.net,8.0,C95
1326,Telur doo,Dubravkin trg 5,Zagreb,10000,+385 993116406,Croatia,petar.maslic@telur.hr,,[],,www.telur.hr,9.0,B04
1327,TEMA Technologie Marketing AG,Aachener-und-Münchener-Allee 9,Aachen,52074,+49 241889700,Germany,info@tema.de,TEMA Technologie Marketing AG is a marketing service provider with two unique positions: TEMA focuses on technologically...,"['Marketing Geb&auml;udeautomation/Marketing Building Automation', 'VR/AR Anwendungen/VR/AR applications', 'Social Media Kampagnen/Social Media Campaigns', 'Betreuung von Nutzerorganisationen und Verb&auml;nden/Support for associations']",,www.tema.de,9.0,E10
1328,"Tem Catez, d.o.o.",Catez 13,Velika Loka,8212,+386 73489900,Slovenia,tem@tem.si,TEM is a leading Slovenian manufacturer of switches and sockets and a medium-sized company with 49 years of tradition and...,"['tem', 'electrical installation', 'switches', 'wiring accessories', 'sockets']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011061671/RGB_JPG_TEM.jpg,www.tem.si,11.1,B03
1329,temicon GmbH,Konrad-Adenauer-Allee 11,Dortmund,44263,+49 23147730550,Germany,info@temicon.com,"We are a worldwide series producer of micro- and nanostructured roll imprint films, injection-molded parts, injection molding...","['Allgemeinbeleuchtung', 'Entblendung', 'Glare control', 'Office lighting', 'diffusers']",,www.temicon.com,8.0,D10
1330,TEM Mandeks d.o.o.,Knešpolje bb,Široki Brijeg,88220,+387 39704414,Bosnia and Herzegovina,info@mandeks.ba,TEM Mandeks is family owned production company specialized in production and wholesales of electro materials and Smart Home...,"['Enclosures', 'Underfloor cabling system', 'Smart Home', 'Hotel Management System', 'Parking Management System']",,www.mandeks.ba,9.0,C60
1331,TEM Teknik Elektrik Malz. San ve Tic A. S,Selimpasa Ortakoy Sanayi,Istanbul,34590,+90 5332668212,Türkiye,ali@temteknik.com,	TEM Technical Electrical Materials Industry and Trade Inc. was established in 1991 to produce plugs & sockets and junction...,"['Socket Strip', 'Enclosure', '1U Socket', 'Industrial Socket', 'PDU']",,www.temteknik.com,9.0,B39
1332,Tense BV,Berg 7,Zonnebeke,8980,+32 50946969,Belgium,info@tense.be,Refined luxury and innovative electronics meet in the designer switching gear of Tense. With the combined 15 years of experience...,"['Architectural socket frame', 'Recessed switch', 'Innovative iPad mount', 'Design room controllers', 'Small motion sensor']",,www.tense.be,9.0,C52
1333,TEP Ex d.o.o.,Prilaz dr.Franje Tudmana 6,Zabok,49210,+385 49426451,Croatia,tepex@tepex.hr,TEP Ex is the regional leader in manufacturing of the explosion-protected electrical equipment. Through continuous development...,"['ATEX light fittings', 'Explosion protected', 'Control unit', 'Ex terminal box', 'Zone 1, 21 Ex products ']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07285035.jpg,www.tepex.hr,4.1,F21
1334,TESLUX Lighting s.r.o.,Mlynská 326/13,Brno,60200,+420 518321220,Czech Republic,info@teslux.cz,"	GROWzilla. Grows faster, Breeds more.","['Cannabis light', 'Potato light', 'Grow light', 'Plant light', 'Grow zilla']",,www.teslux.cz,4.1,B61
1335,Testboy GmbH,Beim Alten Flugplatz 3,Vechta,49377,+49 44418911210,Germany,info@testboy.de,"	The first Testboy continuity tester were developed in 1953. This laid the foundation for today's Testboy products, success...","['Multimeter', 'Testboy', 'Pr&uuml;fger&auml;te', 'Messger&auml;te', 'zweipolige Spannungspr&uuml;fer']",,www.testboy.de,11.0,A76
1336,Jakob Thaler GmbH Kabelverlege- und Spulmaschinenfabrik,Hunenkamp 6-12,Bad Bramstedt,24576,+49 4192816010,Germany,info@jakobthaler.com,,[],,www.jakobthaler.com,9.0,D04
1337,Theben AG,Hohenbergstr. 32,Haigerloch,72401,+49 74746920,Germany,info@theben.de,A start-up: More than 100 years youngTheben is a leading premium supplier of intelligent solutions for sustainable automation...,"['Pr&auml;senzmelder', 'Zeitschaltuhren', 'Bewegungsmelder', 'Smart Home', 'KNX']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010032150/1662462876796_Theben-Logo_2500px.jpg,www.theben.de,12.0,E03
1338,"The Hive Co., Ltd.","#1606, Busan V-Tower, Mora Road 22","Sasang, Busan",46918,,"Korea, the Republic of (South)",,,[],,,12.0,E28
1339,The Light Group GmbH,Am Schafbrinke 62,Hannover,30519,+49 51180748610,Germany,info@tlg.no,The Light Group is a Norwegian family company that has been developing products together with our customers for 30 years...,"['LED Downlights', 'LED Strips', 'Controlling and Steering', 'Linear Lighting', 'Residential Lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008840.jpg,www.thelightgroup.de,3.0,F40
1340,THERMOKON Sensortechnik GmbH,Platanenweg 1,Mittenaar,35756,+49 277869600,Germany,email@thermokon.de,Thermokon Sensortechnik stands for many years of experience for the development and production of sensors and sensor systems...,"['Sensor', 'Geb&auml;udeautomation', 'BUS Systeme', 'Regeltechnik', 'Funkempf&auml;nger']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011013404/RGB_JPG_Thermokon.jpg,www.thermokon.de,9.0,E30
1341,THORGEON,Daugavgrivas street 77,Riga,1007,+371 22084444,Latvia,info@thorgeon.com,"For over 15 years Sergey Tjurikovs, CEO of the wholesale lighting and electrical supply company SIA “ATTA-1” studied all...","['Incandescent', 'Halogen lamps', 'Mercury lamps', 'Sodium lamps', 'Emergency lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015053211/RGB_JPG_THORGEON.jpg,www.thorgeon.com,6.0,C21
1342,Threeline Technology S.L,Pulimentadores 1,Almansa,02640,+34 967318293,Spain,export.office@threeline.es,A lighting specialist with over fifteen years of experience in the sector and now also a leader in the LED technology field...,"['indoor lighting', 'industrial lighting', 'sports lighting', 'industiral lighting', 'strips &amp; profiles']",,www.threelinegroup.com,4.1,F30
1343,"Tiny Powers Co., Ltd.","Simin-daero, Dongan-gu, Anyang-si, Rm 710 Ace PyeongChon Tower 361 Geounggi-do",Anyang-si,14057,+82 313845521,"Korea, the Republic of (South)",chjchoi@nor.co.kr,"■ Profile▶  Company Name :                      TinyPowers Co., Ltd.▶  CEO:                                         Choi...","['communication', 'control', 'LED', 'BEMS', 'IEEE 2847']",,www.tinypower.co.kr,4.1,K31
1344,TKM Telekommunikation und Elektronik GmbH,Schlossstr. 123,Mönchengladbach,41238,+49 2166991119,Germany,info@tkm-gmbh.de,We are your partner For data network solutions in the IT sector  Since the foundation of TKM GmbH in 1986 we have become...,"['Kupfer', 'Glasfaser', 'Splei&szlig;schutz', 'Splice box', 'FttX']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012339194/RGB_JPG_TKM.jpg,www.tkm-networks.com,9.0,E47
1345,TMC Innovation,19 rue de la Petite Meilleraie,Les Sorinières,44840,+33 240801400,France,commercial@tmc-innovation.fr,"Urban lighting furniture designer and manufacturer, TMC Innovation is part of an innovation process and co-construction with...","['design', 'lighting pole', 'public lighting', 'urban furniture', 'Innovation']",,www.tmc-innovation.fr,4.0,A80
1346,TMC Transformers S.p.A.,Viale dell'Industria 65,Busto Arsizio,21052,+39 03311262011,Italy,marketing@tmctransformers.com,"TMC TRANSFORMERS IS A GLOBAL COMPANY ACTIVE IN THE MANUFACTURE OF MEDIUM AND LOW VOLTAGE TRANSFORMERS AND REACTORS, BOTH...","['Transformers', 'Reactors', 'Cast resin technology', 'VPI technology', 'Sustainability']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051908856/RGB_JPG_TMC.jpg,www.tmctransformers.com,11.0,C40
1347,Tonone B.V.,Veemarktkade 8 - 6117,´s-Hertogenbosch,5222 AE,+31 857821333,Netherlands,info@tonone.com,	How can we apply our fascination for traditional mechanics and craft tools into state-of-the art design? This quest was...,"['Technical Luminaires', 'Design Luminaires', 'Led', 'Architectural Lighting']",,,3.1,B19
1348,"Topjet Optoelectronic Co., Ltd.","TOPJET Industrial Park PingBei 2nd Rd., NanPing S&T Industrial",Zhuhai,519000,+86 7568828380,China,sales@topjetled.com,"Located in a beautiful and romantic city - Zhuhai - TOPJET OPTOELECTRONIC Co, Ltd is a high-tech company specializing in...","['Professionelle led-licht hersteller in china', 'Professional led light manufacturer in China', 'Panel light Downlight Ceilling light manufacturer', '吸顶灯 筒灯 面板灯 吸顶灯 制造商', 'Fl&auml;chenleuchte Downlight  Deckenleuchte']",,,8.0,M72
1349,TOPMET Light Kłosowicz Wiśniewski Sp. z o.o.,Ostrowska 354,Poznan,61-312,+48 618727500,Poland,filip.stanislawski@topmet.pl,"We are designing, manufacturing and illuminating since 1989.We specialise in creating lighting lines. Our offer includes...","['LED profiles', 'Aluminium profiles', 'LED lighting solutions', 'LED-Profile', 'EU production of LED profiles']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015020344/RGB_JPG_TOPMET.jpg,www.topmet.pl,3.0,F91
1350,Toscot di Dinley Colin Patrick,Via Aldo Moro 8,Sesto Fiorentino FI,50019,+39 03316083028,Italy,info@toscot.it,Toscot proposes lighting models which combine the Tuscan tradition of hand-pressed forms and decoration ranging from classical...,"['MadebyPeople', 'Outdoorlights', 'DecorativeSystems', 'TuscanMaiolica', 'LightingProjects']",,www.toscot.it,3.1,E40
1351,"Hengdian Group Tospo Lighting Co., Ltd.","8F, T1, Hengdian Center, No. 136 Fuchun Road, Shangcheng District",Hangzhou,310016,+86 57187632800,China,sales@tospolighting.com,"Hengdian Group Tospo Lighting Co.,Ltd. (Stock code: 603303.SH) has been focusing on the general lighting industry since its...","['LED lamps &amp; tube', 'Driver', 'LED residential &amp; commercial luminaires', 'LED outdoor &amp; solar luminaire', 'Smart lighting products']",,www.tospolighting.com,8.0,B45
1352,TP Elektrik Malzemeleri San. ve Tic. A.S,Kemalpasa OSB Mahallesi 600 Sok.,Izmir,35730,+90 2328809001,Türkiye,info@tpelectric.com.tr,,[],,,12.1,E20
1353,Trace Software International SAS,Parc Eco Normandie,Saint Romain de Colbosc,76430,+33 232794424,France,sales@trace-software.com,For more than 30 years Trace Software has been designing software solutions for the design and operation of electrical and...,"['Elektrotechnik', 'electrical engineering', 'Netzberechnung', 'Elektroplanung', 'Photovoltaik']",,www.trace-software.com,12.1,E22
1354,TRAYCO NV,Bedrijvenpark Coupure 5a,Oudenaarde,9700,+32 55232990,Belgium,info@trayco.eu,INNOVATING AND ADVISING / Trayco’s DNA Trayco‘s strength lies in innovating and producing cable support and underfloor systems...,"['cable support systems', 'floor systems', 'Kabeltragsysteme', 'mounting systems', 'Unterflursysteme']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07278033.jpg,www.trayco.eu,12.1,E51
1355,Treesoft GmbH &amp; Co. KG,Druckerweg 4,Lindlar,51789,+49 226647630,Germany,info@treesoft.de,	Treesoft GmbH & Co. KG - wir sind für Sie da!		Über 30 Jahre Software-Entwicklung für Ihren Erfolg.		Die Treesoft GmbH & Co...,"['Schaltplan', 'Elektrotechnik', 'software', 'CAD', 'crm']",,www.treesoft.de,12.1,B31
1356,TREND Networks GmbH,Gutenbergstr. 10,Ismaning,85737,+49 89996860,Germany,germanysales@trend-networks.com,TREND Networks specializes in user-friendly solutions which help technicians across the globe to intsall and test networks...,"['Kabelzertifizierer', 'OTDR', 'Netzwerktester', 'Kabeltester', 'LAN-Tester']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012149886/RGB_JPG_TREND_Networks.jpg,www.trend-networks.com,11.0,B07
1357,"TREVOS, a.s.",Nová Ves 34,Turnov,51101,+420 481363344,Czech Republic,trevos@trevos.cz,"TREVOS, a.s., established in 1990, is a renowned, all-Czech fluorescent and LED lighting developer and manufacturer. We produce...","['triproof luminaires', 'ip66', 'Interior lights', 'Dustproof', 'Agriculture fixtures']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011038347/1662029874692_TREVOS_black_PNG_nove.png,www.trevos.cz,3.0,D40
1358,Triax GmbH,Karl-Benz-Str. 10,Pliezhausen,72124,+49 71279234151,Germany,subo@triax.com,"	TRIAX is a global supplier of reliable, innovative products and solutions for the reception and distribution of video, audio...","['TV-Empfangs- und Verteiltechnik', 'Ethernet over Coax', 'InTouch', 'Kopfstellen', 'SAT-Antennen']",,www.triax.com/de-de,12.1,B65
1359,Tridium Europe Ltd,"1 The Grainstore, Brooks Green Road","Coolham, Horsham",RH13 8GR,+44 1403740290,Great Britain and Northern Ireland,ordersemea@tridium.com,,[],,www.tridiumeurope.com,9.0,E10
1360,Triolight BV,Hermesweg 21-25,Barneveld,3771 ND,+31 342450506,Netherlands,info@triolight.com,"	Triolight is known worldwide as the manufacturer of the high quality, European liniLED® System. Our company offers innovative...","['IP69', 'liniLED', 'LED strip', 'Architertural', 'Outdoor lighting']",,www.triolight.com,4.1,G41
1361,Tron Elektronicke Soucastky s.r.o.,Bely Pazoutové 1,Brno,62400,+420 541420728,Czech Republic,info@tron.cz,"	TRON ELEKTRONICKÉ SOUČÁSTKY, s.r.o. Solutions for LED lighting	We are professionals in LED lighting. We supply LED chips...",[],,www.tron.cz,8.0,B69
1362,Tronix Lighting B.V.,Vluchtoord 41,Uden,5406 XP,+31 413330380,Netherlands,marketing@tronixlighting.com,Stockholding LED supplier • 25 years expertise • A-Z product range'Tronix Lighting: sharp on wholesale'At Tronix you will...,"['Emergency lighting', 'stock', 'dali', 'casambi', 'complete range']",,www.tronixlighting.com,4.1,D80
1363,Trust International B.V.,Laan van Barcelona 600,Dordrecht,3317 DD,+31 787111260,Netherlands,sales@trust.com,"Trust makes a smart home accessible. With a wide range of affordable and wireless products, it is possible to easily control...","['smart home', 'smart lighting', 'voice control', 'home automation', 'smart home appliances']",,www.trust.com,9.0,E54
1364,T-Systems Multimedia Solutions GmbH,Riesaer Str. 5,Dresden,01129,+49 35128200,Germany,mms@t-systems.com,,[],,www.t-systems-mms.com,9.0,D10
1365,TT Kabeli d.o.o.,Knespolje bb,Siroki Brijeg,88220,+387 63446991,Bosnia and Herzegovina,tomislav.kvesic@ttcables.com,"Combining modern technology from the major European producers of machinery, young and motivated staff, and seasoned engineers...","['screened', 'solar', 'cables', '1kV', 'power']",,www.ttcables.com,9.0,B63
1366,TUBIFOR S.r.l.,Contrada Tempa Molino snc,Buonabitacolo (SA),84032,+39 097591681,Italy,export@tubifor.it,"Since 1980,TUBIFOR SRL has been manufacturing plastic pipes for electrical installations and cable protection. Our commitment...","['Pliable Corrugated tubes', 'Accessories and Fitting', 'Spiral Sheats', 'PVC Rigid Pipes', 'Double Wall pipes']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008837.jpg,http://www.tubifor.it,12.1,C65
1367,T&Uuml;V S&Uuml;D AG,Westendstr. 199,München,80686,+49 8957910,Germany,info@tuvsud.com,"TÜV SÜD is your third-party partner, assisting you in the conceptual design, realisation and operation of building automation.To...","['Geb&auml;udeautomation ', 'building automation ']",,www.tuvsud.com,9.0,E10
1368,Tuya (HK) Limited,183 Queen's Road East,Wanchai,,+86 13588101920,Hong Kong,louyj@tuya.com,"	Tuya provides a leading global IoT platform that enables manufacturers, brands, OEMs and retail chains to develop one-stop...",[],,www.tuya.com,9.0,E50
1369,"Zhejiang Twinsel Electronic Technology Co., Ltd.","Tashan Industry Zone, Meilin Sub-District, Ninghai",Ningbo,315600,+86 13738841303,China,crystal@twinsel.com,"Zhejiang Twinsel Electronic Technology Co., Ltd is a high-tech terminal application enterprise integrating scientific research...","['Twinsel', 'Zhejiang Twinsel', 'Zhejiang Twinsel Electronic Technology Co.Ltd.']",,www.twinsel.com,4.1,G89
1370,ubisys technologies GmbH,Neumannstr. 10,Düsseldorf,40235,+49 21154215500,Germany,info@ubisys.de,"As one of the world‘s leading companies in the Internet of Things (IoT) industry, based in Düsseldorf, ubisys develops smart...","['Wireless Lighting Control', 'Cloud Connectivity', 'Product Development and Customizations', 'Home &amp; Building Automation', 'Zigbee and Bluetooth Connectivity Solutions', 'Smart Lighting with Zigbee and Bluetooth', 'Smart Home']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015020687/RGB_JPG_Ubisys.jpg,www.ubisys.de,8.0,E79
1371,UEBEX GmbH,Rahlstedter Grenzweg 9,Hamburg,22143,+49 40609455480,Germany,tobias.neumann@uebex.com,	UEBEX LED Lighting is an european developer and manufacturer of LED lights with sites in Austria and Germany.	The group...,"['Flutlicht', 'vibrationsresistente Leuchten', 'Kranbeleuchtung', 'Leuchten h&ouml;herer Schutzart', 'Sportbeleuchtung']",,www.uebex.com,4.0,C86
1372,uesa GmbH,Gewerbepark Nord 7,Uebigau,04938,+49 35365490,Germany,mail@uesa.de,uesa GmbH offers products and services that meet the needs of its customers in the electrical system and switchgear construction...,"['Niederspannungsverteilungen', 'Mittelspannungsverteilungen', 'Transformatorenstationen', 'Kabelverteiler', 'Lades&auml;ulen']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012184725/RGB_JPG_Uesa.jpg,www.uesa.de,11.0,C88
1373,UGA SYSTEM-TECHNIK GmbH &amp; Co. KG,Heidenheimer Str. 80-82,Herbrechtingen,89542,+49 732496960,Germany,info@uga.eu,"UGA SYSTEM-TECHNIK is a manufacturer of gas- and watertight building entries for cables and pipes. Since 1990, our products...","['Gummi Press Dichtung', 'Brandschutz', 'UGA', 'Abdichtung', 'Kabeldurchf&uuml;hrungen']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011043443/RGB_JPG_UGA.jpg,www.uga.eu,11.0,D02
1374,Uhlmann &amp; Zacher GmbH,Gutenbergstr. 2-4,Waldbüttelbrunn,97297,+49 931406720,Germany,contact@uundz.de,Uhlmann & Zacher GmbH has been successfully developing and manufacturing electronic locking systems since 1996. Two product...,"['Zutrittskontrollsysteme', 'Mobile keys', 'Bluetooth', 'Mobile Zutrittskontrolle', 'Elektronische Schlie&szlig;systeme']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010988780/RGB_JPG_Uhlmann.jpg,www.UundZ.de,8.0,F94
1375,UL International Italia S.r.l.,Via delle Industrie 1,Carugate,20061,+39 02925 26530,Italy,applianceslighting.eu@ul.com,"For over 125 years, UL has helped create a better world by applying science to solve safety, security and sustainability...","['IoT and connectivity', 'Luminaires and systems', 'International Testing and Certification', 'ENEC', 'Safety and Performance']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008830.jpg,www.ul.com/lighting,8.0,H40
1376,ULM LLC,Klochkivska 111А Kharkiv region,Kharkiv,61145,+380 505615691,Ukraine,ulmpartner@gmail.com,ULM Ltd is a manufacturing company. We produce ceiling lamps of various types. Our Ukrainian factory was founded in 2020...,"['Ceiling lights', 'Luminaires manufacturer', 'OEM products', 'LED luminaires', 'Ukrainian manufacturer']",,,6.0,C88
1377,Ultimate Lighting Solutions AG,Mosacherstrasse 13,Zumikon,8126,+41 794071444,Switzerland,graf@uls-ag.com,,[],,,3.0,G41
1378,UMPI S.r.l.,Via Consolare Rimini-San Marino 11,Rimini,47923,+39 0541833160,Italy,commerciale@umpi.it,"UMPI SRL is the italian leading Company, part of Digital Platforms SPA Group, specialized on the development of IoT systems...","['Internet of Things', 'Smart Cities ', 'LoRa controller', 'Street lighting management', 'Smart lighting', 'Nema Socket', 'Zhaga Socket', 'NB-IoT controller', 'Tunnel lighting control', 'Powerline communication ', 'CMS', 'Interoperability', 'LoRa-WAN']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012161152/RGB_JPG_UMPI.jpg,www.umpi.it,8.0,B87
1379,UNI-BRIGHT bvba,Belcrownlaan 13Q,Antwerpen,2100,+32 36416140,Belgium,info@unibright.be,	UNI-BRIGHT® is an innovative manufacturer and distributor of LED lighting. 	The product range is very extensive and was...,"['newest LED technology', 'manufacturer of LED lighting', 'high-quality', 'functional lighting', 'indoors']",,www.unibright.be,3.0,G60
1380,Unilux Inc.,"124, Sagimakgol-ro, Jungwon-gu Rm 314 Megablock, SKN Techno Park",Seongnam,13207,+82 317762610,"Korea, the Republic of (South)",unilux@naver.com,"Unilux, founded in 2001, is a company that has worked hard to develop technologies to realize 'lighting that makes people...","['lighting control', 'smart lighting', 'energy saving', 'individual control', 'dimming control']",,www.uniluxinc.com,4.1,J31
1381,Unipro Oy Ltd,Itäportintie 1,Hämeenlinna,13430,+358 207450806,Finland,info@unipro.fi,"Unipro - Making your lights shine Unipro is the word for high quality products, modern design and smooth installation. Our...","['Helvar', 'adapters', 'lighting tracks', 'Plastic free', 'Halogen free ']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012240450/RGB_JPG_Unipro.jpg,www.unipro.fi,8.0,J49
1382,Universal Fibre Optics Ltd.,Home Place,Coldstream,TD12 4DT,+44 1890883416,Great Britain and Northern Ireland,info@fibreopticlighting.com,"	As complete system manufacturers UFO has the knowledge, skills and people to turn your lighting concepts into a reality...","['Fibre Optic Lighting', 'Museum Lighting', 'Chandeliers', 'Decorative Lighting', 'LED Lighting']",,www.fibreopticlighting.com,4.1,D91
1383,Universal Science S.r.l.,Via Adige 30,Pregnana Milanese (Milan),20006,+39 0294324511,Italy,sales@universal-science.eu,"Founded in 2007, Universal Science is located in Italy and specialized in development and production of LED modules (branded...","['modules', 'solutions', 'RED', 'Lighting solutions', 'led modules']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015024774/RGB_JPG_RED.jpg,www.universal-science.it,8.0,H20
1384,"Up-shine Lighting Co., Limited","2nd Building Dingfeng High-Tech Zone, Fuyuan 1st Road, Fuyong Sub-District","Bao'An, Shenzhen",518103,+86 75529197332,China,info@upshine.com,"UPSHINE is a client-focused, professional, and ""technology-oriented"" leading LED lighting manufacturer since 2010, presenting...","['Batten Linear lights', 'LED Downlights', 'LED Wall Lights', 'LED Panel Lights', 'Upshine lighting']",,www.upshine.com,8.0,K46
1385,Uriarte Safybox S.A.,Barrio Garaioltza 162,Lezama,48196,+34 944554004,Spain,info@uriarte.net,,[],,www.safybox.com,12.0,C74
1386,Ushio Europe B.V.,Breguetlaan 38,Oude Meer,1438 BC,+31 204469333,Netherlands,info@ushio.eu,"Ushio is the proud manufacturer of Care222® filtered far UV-C disinfection technology, a patented ultraviolet (UV) light...","['disinfection', 'sterilization', 'HVAC', 'lighting', 'safety']",,www.ushio.eu,8.0,G31
1387,Utkarsh India Limited,"Elliot Road, 4th Floor Arrjavv Square, 95A",Kolkata,700016,,India,,,[],,,4.0,E17
1388,UV Medico A/S,Soeren Frichs Vej 40E,Aabyhoej,8230,+45 20907130,Denmark,info@uvmedico.com,UV Medico is a high-tech company developing solutions in the Far UV-C field to fight the spread of infectious diseases by...,"['Disinfection', 'Far UV-C', '222nm', 'UV-C']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052392401/RGB_JPG_uvmedico.jpg,,8.0,G31
1389,Vackerlite Aydinlatma San. ve Tic. LTD. ŞTİ.,No: 2/4/1 Muratpasa Mahallesi,Istanbul,34040,+90 212 565 40 45,Türkiye,info@vackerlite.com,"Vackerlite Lighting has been working in the lighting industry with extensive experience in designing, manufacturing, technical...","['architectural lighting', 'Industrial lighting', 'decorative lighting', 'linear lighting', 'commercial lighting']",,www.vackerlite.com,3.0,G49
1390,VALDINOX S.L.,Villanueva 12,"San Mamés de Meruelo, Cantabria",39192,+34 942677135,Spain,export@valdinox.com,"VALDINOX is specialized on WIRE MESH CABLE TRAYS, supports and accessories. We are among the most experienced manufacturers...","['basket tray', 'cable tray', 'wire mesh cable tray', 'cable management', 'giterrinne']",,www.valdinox.com,12.0,E36
1391,Valmont Netherlands B.V.,Den Engelsman 3,Maarheeze,6026 RB,+31 495599959,Netherlands,info.nl@valmont.com,"	Valmont manufactures steel, aluminium, composite, and wooden columns and structures to which lighting and traffic control...","['Wooden Lighting Poles', 'Smart City', 'Valmont Structures', 'Decorative Ligting Structures']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008026.jpg,www.valmont.com,4.0,B10
1392,Vask Components Hong Kong Company,"Flat C, 11/F, Success Industrial Building, 17 Sheung Hei Street","San Po Kong, Kowloon",,+852 35833486,Hong Kong,admin_2@vask-hk.com,"VASK Components Hong Kong Company is a Hong Kong company , with the factory in China, expertised in supplying a full range...","['Terminal Block', 'Pluggable Connector', 'Rewirable Hand-Switch', 'Luminaire Pushwire Connector', 'PCB Terminal']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015000163/RGB_JPG_VASK.jpg,http://www.vask-hk.com,8.0,K58B
1393,VDE Pr&uuml;f- und Zertifizierungsinstitut GmbH,Merianstr. 28,Offenbach am Main,63069,+49 6983060,Germany,vde-institut@vde.com,"About the VDE Institute:The VDE mark is synonymous with safety and quality in electrical devices, components and systems...","['Testing', 'Certification', 'Light', 'Lighting', 'Product safety']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011012636/RGB_JPG_VDE.jpg,www.vde.com/institut,8.0,H60
1394,Velda Cable Technics NV,Klein Frankrijkstraat 24,Ronse,9600,+32 55303065,Belgium,info@velda-cabletechnics.com,Velda Cable Technics started in 1935 with the assembly of fine steel cables for the bicycle and motorbike industry. Thanks...,"['wire rope', 'CNC parts', 'suspension', 'fasteners', 'injection molding']",,www.velda-cabletechnics.com,8.0,K19
1395,VEMER S.p.A.,Via Camp Lonc 16,Villapaiera Feltre,32032,+39 043980638,Italy,export@vemer.it,	Vemer that is located in North Italy and is an industrial manufacturer of more than 1000 items to meet the requirements...,"['time switches', 'bus-bar supports', 'thermostats', 'energy meters', 'IoT devices']",,www.vemer.it,12.1,C21
1396,vertigo systems GmbH,Engelbertstr. 30,Köln,50674,+49 2212228020,Germany,contact@vertigo-systems.com,vertigo systems is a specialised provider of life-size walk-in interactive installations. The luminous installations and...,"['projection', 'vertigo', 'aquarium', 'interactive', 'shopdesign']",,http://www.vertigo-systems.de/,3.1,B11
1397,Vertiv GmbH,Lehrer-Wirth-Str. 4,München,81829,+49 8990500751,Germany,de.sales@vertiv.com,"Vertiv (NYSE: VRT) brings together hardware, software, analytics and ongoing services to enable its customers’ vital applications...","['Emerson Network Power', 'Vertiv GmbH', 'USV', 'Edge', 'IT Infrastruktur']",,https://www.vertiv.com/de-emea/,11.0,B75
1398,VESOI S.r.l.,Via V. Emanuele 209,Arzano (NA),80022,+39 0815735613,Italy,vesoi@vesoi.com,vesoi is today one of the most significant and expressive industrial realities of Italian lighting thanks to continuous research...,"['vesoi', 'italian lighting', 'decorative light', 'design', 'modern light']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012215753/1663051456314_logo-20vesoi-20per-20social.jpg,www.vesoi.com,3.1,C90
1399,Vetrart di Bagnara Daniele &amp; C. s.n.c.,Via dei Tulipani 11,Bassano del Grappa,36061,+39 0424567999,Italy,export@vetrart.com,"Vetrart, glass factory founded in 1990 by Daniele Bagnara and Alessandra Schiano, has become over time a creative team of...","['LIGHTING', 'GLASS', 'CHANDELIER', 'ITALY', 'LUXURY']",,www.vetrartlighting.com,3.1,D27
